kanton_code;kanton;jahr;komponente;staatsangehoerigkeit;personen
18;Graubünden / Grigioni / Grischun;2012;bestand_31_12;schweiz;160390
18;Graubünden / Grigioni / Grischun;2012;bestand_31_12;ausland;33530
19;Aargau;2012;bestand_31_12;schweiz;484088
19;Aargau;2012;bestand_31_12;ausland;143252
20;Thurgau;2012;bestand_31_12;schweiz;197944
20;Thurgau;2012;bestand_31_12;ausland;58269
21;Ticino;2012;bestand_31_12;schweiz;250320
21;Ticino;2012;bestand_31_12;ausland;91332
22;Vaud;2012;bestand_31_12;schweiz;498089
22;Vaud;2012;bestand_31_12;ausland;236267
23;Valais / Wallis;2012;bestand_31_12;schweiz;252134
23;Valais / Wallis;2012;bestand_31_12;ausland;69598
24;Neuchâtel;2012;bestand_31_12;schweiz;132652
24;Neuchâtel;2012;bestand_31_12;ausland;41902
25;Genève;2012;bestand_31_12;schweiz;279417
25;Genève;2012;bestand_31_12;ausland;183684
26;Jura;2012;bestand_31_12;schweiz;61722
26;Jura;2012;bestand_31_12;ausland;9220
27;Ohne Angabe;2012;bestand_31_12;schweiz;0
27;Ohne Angabe;2012;bestand_31_12;ausland;0
0;Schweiz;2013;bestand_31_12;schweiz;6202184
0;Schweiz;2013;bestand_31_12;ausland;1937447
1;Zürich;2013;bestand_31_12;schweiz;1064112
1;Zürich;2013;bestand_31_12;ausland;361426
2;Bern / Berne;2013;bestand_31_12;schweiz;855692
2;Bern / Berne;2013;bestand_31_12;ausland;145540
3;Luzern;2013;bestand_31_12;schweiz;323029
3;Luzern;2013;bestand_31_12;ausland;67320
4;Uri;2013;bestand_31_12;schweiz;31887
4;Uri;2013;bestand_31_12;ausland;3978
5;Schwyz;2013;bestand_31_12;schweiz;121710
5;Schwyz;2013;bestand_31_12;ausland;29686
6;Obwalden;2013;bestand_31_12;schweiz;31414
6;Obwalden;2013;bestand_31_12;ausland;5093
7;Nidwalden;2013;bestand_31_12;schweiz;36410
7;Nidwalden;2013;bestand_31_12;ausland;5478
8;Glarus;2013;bestand_31_12;schweiz;30795
8;Glarus;2013;bestand_31_12;ausland;8798
9;Zug;2013;bestand_31_12;schweiz;87575
9;Zug;2013;bestand_31_12;ausland;30543
10;Fribourg / Freiburg;2013;bestand_31_12;schweiz;235847
10;Fribourg / Freiburg;2013;bestand_31_12;ausland;61824
11;Solothurn;2013;bestand_31_12;schweiz;208257
11;Solothurn;2013;bestand_31_12;ausland;53180
12;Basel-Stadt;2013;bestand_31_12;schweiz;124478
12;Basel-Stadt;2013;bestand_31_12;ausland;64857
13;Basel-Landschaft;2013;bestand_31_12;schweiz;221006
13;Basel-Landschaft;2013;bestand_31_12;ausland;57650
14;Schaffhausen;2013;bestand_31_12;schweiz;59350
14;Schaffhausen;2013;bestand_31_12;ausland;19433
15;Appenzell Ausserrhoden;2013;bestand_31_12;schweiz;45645
15;Appenzell Ausserrhoden;2013;bestand_31_12;ausland;8046
16;Appenzell Innerrhoden;2013;bestand_31_12;schweiz;14124
16;Appenzell Innerrhoden;2013;bestand_31_12;ausland;1654
17;St. Gallen;2013;bestand_31_12;schweiz;379074
17;St. Gallen;2013;bestand_31_12;ausland;112625
18;Graubünden / Grigioni / Grischun;2013;bestand_31_12;schweiz;160440
18;Graubünden / Grigioni / Grischun;2013;bestand_31_12;ausland;34519
19;Aargau;2013;bestand_31_12;schweiz;487918
19;Aargau;2013;bestand_31_12;ausland;148444
20;Thurgau;2013;bestand_31_12;schweiz;199434
20;Thurgau;2013;bestand_31_12;ausland;60844
21;Ticino;2013;bestand_31_12;schweiz;252173
21;Ticino;2013;bestand_31_12;ausland;94366
22;Vaud;2013;bestand_31_12;schweiz;503493
22;Vaud;2013;bestand_31_12;ausland;245880
23;Valais / Wallis;2013;bestand_31_12;schweiz;254273
23;Valais / Wallis;2013;bestand_31_12;ausland;72738
24;Neuchâtel;2013;bestand_31_12;schweiz;132428
24;Neuchâtel;2013;bestand_31_12;ausland;43974
25;Genève;2013;bestand_31_12;schweiz;279635
25;Genève;2013;bestand_31_12;ausland;189798
26;Jura;2013;bestand_31_12;schweiz;61985
26;Jura;2013;bestand_31_12;ausland;9753
27;Ohne Angabe;2013;bestand_31_12;schweiz;0
27;Ohne Angabe;2013;bestand_31_12;ausland;0
0;Schweiz;2014;bestand_31_12;schweiz;6239207
0;Schweiz;2014;bestand_31_12;ausland;1998459
1;Zürich;2014;bestand_31_12;schweiz;1073065
1;Zürich;2014;bestand_31_12;ausland;373289
2;Bern / Berne;2014;bestand_31_12;schweiz;857869
2;Bern / Berne;2014;bestand_31_12;ausland;151501
3;Luzern;2014;bestand_31_12;schweiz;325336
3;Luzern;2014;bestand_31_12;ausland;69268
4;Uri;2014;bestand_31_12;schweiz;31864
4;Uri;2014;bestand_31_12;ausland;4144
5;Schwyz;2014;bestand_31_12;schweiz;122299
5;Schwyz;2014;bestand_31_12;ausland;30460
6;Obwalden;2014;bestand_31_12;schweiz;31609
6;Obwalden;2014;bestand_31_12;ausland;5225
7;Nidwalden;2014;bestand_31_12;schweiz;36363
7;Nidwalden;2014;bestand_31_12;ausland;5717
8;Glarus;2014;bestand_31_12;schweiz;30798
8;Glarus;2014;bestand_31_12;ausland;8996
9;Zug;2014;bestand_31_12;schweiz;88446
9;Zug;2014;bestand_31_12;ausland;31643
10;Fribourg / Freiburg;2014;bestand_31_12;schweiz;238495
10;Fribourg / Freiburg;2014;bestand_31_12;ausland;64930
11;Solothurn;2014;bestand_31_12;schweiz;208749
11;Solothurn;2014;bestand_31_12;ausland;54970
12;Basel-Stadt;2014;bestand_31_12;schweiz;124274
12;Basel-Stadt;2014;bestand_31_12;ausland;66306
13;Basel-Landschaft;2014;bestand_31_12;schweiz;221378
13;Basel-Landschaft;2014;bestand_31_12;ausland;59923
14;Schaffhausen;2014;bestand_31_12;schweiz;59542
14;Schaffhausen;2014;bestand_31_12;ausland;19875
15;Appenzell Ausserrhoden;2014;bestand_31_12;schweiz;45763
15;Appenzell Ausserrhoden;2014;bestand_31_12;ausland;8301
16;Appenzell Innerrhoden;2014;bestand_31_12;schweiz;14169
16;Appenzell Innerrhoden;2014;bestand_31_12;ausland;1685
17;St. Gallen;2014;bestand_31_12;schweiz;380500
17;St. Gallen;2014;bestand_31_12;ausland;115324
18;Graubünden / Grigioni / Grischun;2014;bestand_31_12;schweiz;160497
18;Graubünden / Grigioni / Grischun;2014;bestand_31_12;ausland;35389
19;Aargau;2014;bestand_31_12;schweiz;491344
19;Aargau;2014;bestand_31_12;ausland;153933
20;Thurgau;2014;bestand_31_12;schweiz;200849
20;Thurgau;2014;bestand_31_12;ausland;62884
21;Ticino;2014;bestand_31_12;schweiz;253633
21;Ticino;2014;bestand_31_12;ausland;96730
22;Vaud;2014;bestand_31_12;schweiz;509124
22;Vaud;2014;bestand_31_12;ausland;252322
23;Valais / Wallis;2014;bestand_31_12;schweiz;256485
23;Valais / Wallis;2014;bestand_31_12;ausland;75278
24;Neuchâtel;2014;bestand_31_12;schweiz;132575
24;Neuchâtel;2014;bestand_31_12;ausland;44752
25;Genève;2014;bestand_31_12;schweiz;281897
25;Genève;2014;bestand_31_12;ausland;195488
26;Jura;2014;bestand_31_12;schweiz;62284
26;Jura;2014;bestand_31_12;ausland;10126
27;Ohne Angabe;2014;bestand_31_12;schweiz;0
27;Ohne Angabe;2014;bestand_31_12;ausland;0
0;Schweiz;2015;bestand_31_12;schweiz;6278459
0;Schweiz;2015;bestand_31_12;ausland;2048667
1;Zürich;2015;bestand_31_12;schweiz;1083372
1;Zürich;2015;bestand_31_12;ausland;383052
2;Bern / Berne;2015;bestand_31_12;schweiz;859970
2;Bern / Berne;2015;bestand_31_12;ausland;157464
3;Luzern;2015;bestand_31_12;schweiz;327503
3;Luzern;2015;bestand_31_12;ausland;71259
4;Uri;2015;bestand_31_12;schweiz;31840
4;Uri;2015;bestand_31_12;ausland;4133
5;Schwyz;2015;bestand_31_12;schweiz;122921
5;Schwyz;2015;bestand_31_12;ausland;31172
6;Obwalden;2015;bestand_31_12;schweiz;31716
6;Obwalden;2015;bestand_31_12;ausland;5360
7;Nidwalden;2015;bestand_31_12;schweiz;36514
7;Nidwalden;2015;bestand_31_12;ausland;5906
8;Glarus;2015;bestand_31_12;schweiz;30721
8;Glarus;2015;bestand_31_12;ausland;9307
9;Zug;2015;bestand_31_12;schweiz;89157
9;Zug;2015;bestand_31_12;ausland;32977
10;Fribourg / Freiburg;2015;bestand_31_12;schweiz;240229
10;Fribourg / Freiburg;2015;bestand_31_12;ausland;67281
11;Solothurn;2015;bestand_31_12;schweiz;209355
11;Solothurn;2015;bestand_31_12;ausland;57063
12;Basel-Stadt;2015;bestand_31_12;schweiz;124365
12;Basel-Stadt;2015;bestand_31_12;ausland;67452
13;Basel-Landschaft;2015;bestand_31_12;schweiz;221489
13;Basel-Landschaft;2015;bestand_31_12;ausland;61742
14;Schaffhausen;2015;bestand_31_12;schweiz;59664
14;Schaffhausen;2015;bestand_31_12;ausland;20172
15;Appenzell Ausserrhoden;2015;bestand_31_12;schweiz;45985
15;Appenzell Ausserrhoden;2015;bestand_31_12;ausland;8558
16;Appenzell Innerrhoden;2015;bestand_31_12;schweiz;14240
16;Appenzell Innerrhoden;2015;bestand_31_12;ausland;1734
17;St. Gallen;2015;bestand_31_12;schweiz;381712
17;St. Gallen;2015;bestand_31_12;ausland;117353
18;Graubünden / Grigioni / Grischun;2015;bestand_31_12;schweiz;160689
18;Graubünden / Grigioni / Grischun;2015;bestand_31_12;ausland;35921
19;Aargau;2015;bestand_31_12;schweiz;495277
19;Aargau;2015;bestand_31_12;ausland;158398
20;Thurgau;2015;bestand_31_12;schweiz;202663
20;Thurgau;2015;bestand_31_12;ausland;64766
21;Ticino;2015;bestand_31_12;schweiz;254288
21;Ticino;2015;bestand_31_12;ausland;97658
22;Vaud;2015;bestand_31_12;schweiz;513739
22;Vaud;2015;bestand_31_12;ausland;259668
23;Valais / Wallis;2015;bestand_31_12;schweiz;258612
23;Valais / Wallis;2015;bestand_31_12;ausland;77084
24;Neuchâtel;2015;bestand_31_12;schweiz;132556
24;Neuchâtel;2015;bestand_31_12;ausland;45551
25;Genève;2015;bestand_31_12;schweiz;287521
25;Genève;2015;bestand_31_12;ausland;197215
26;Jura;2015;bestand_31_12;schweiz;62361
26;Jura;2015;bestand_31_12;ausland;10421
27;Ohne Angabe;2015;bestand_31_12;schweiz;0
27;Ohne Angabe;2015;bestand_31_12;ausland;0
0;Schweiz;2016;bestand_31_12;schweiz;6318404
0;Schweiz;2016;bestand_31_12;ausland;2101146
1;Zürich;2016;bestand_31_12;schweiz;1092631
1;Zürich;2016;bestand_31_12;ausland;395338
2;Bern / Berne;2016;bestand_31_12;schweiz;861567
2;Bern / Berne;2016;bestand_31_12;ausland;164897
3;Luzern;2016;bestand_31_12;schweiz;329264
3;Luzern;2016;bestand_31_12;ausland;74133
4;Uri;2016;bestand_31_12;schweiz;31850
4;Uri;2016;bestand_31_12;ausland;4295
5;Schwyz;2016;bestand_31_12;schweiz;123597
5;Schwyz;2016;bestand_31_12;ausland;32266
6;Obwalden;2016;bestand_31_12;schweiz;31892
6;Obwalden;2016;bestand_31_12;ausland;5486
7;Nidwalden;2016;bestand_31_12;schweiz;36521
7;Nidwalden;2016;bestand_31_12;ausland;6035
8;Glarus;2016;bestand_31_12;schweiz;30650
8;Glarus;2016;bestand_31_12;ausland;9497
9;Zug;2016;bestand_31_12;schweiz;89809
9;Zug;2016;bestand_31_12;ausland;34139
10;Fribourg / Freiburg;2016;bestand_31_12;schweiz;242134
10;Fribourg / Freiburg;2016;bestand_31_12;ausland;69829
11;Solothurn;2016;bestand_31_12;schweiz;210240
11;Solothurn;2016;bestand_31_12;ausland;59201
12;Basel-Stadt;2016;bestand_31_12;schweiz;124026
12;Basel-Stadt;2016;bestand_31_12;ausland;69044
13;Basel-Landschaft;2016;bestand_31_12;schweiz;221990
13;Basel-Landschaft;2016;bestand_31_12;ausland;63634
14;Schaffhausen;2016;bestand_31_12;schweiz;59889
14;Schaffhausen;2016;bestand_31_12;ausland;20880
15;Appenzell Ausserrhoden;2016;bestand_31_12;schweiz;46044
15;Appenzell Ausserrhoden;2016;bestand_31_12;ausland;8910
16;Appenzell Innerrhoden;2016;bestand_31_12;schweiz;14230
16;Appenzell Innerrhoden;2016;bestand_31_12;ausland;1773
17;St. Gallen;2016;bestand_31_12;schweiz;382829
17;St. Gallen;2016;bestand_31_12;ausland;119723
18;Graubünden / Grigioni / Grischun;2016;bestand_31_12;schweiz;160932
18;Graubünden / Grigioni / Grischun;2016;bestand_31_12;ausland;36618
19;Aargau;2016;bestand_31_12;schweiz;499712
19;Aargau;2016;bestand_31_12;ausland;163750
20;Thurgau;2016;bestand_31_12;schweiz;204378
20;Thurgau;2016;bestand_31_12;ausland;66331
21;Ticino;2016;bestand_31_12;schweiz;254828
21;Ticino;2016;bestand_31_12;ausland;99547
22;Vaud;2016;bestand_31_12;schweiz;520957
22;Vaud;2016;bestand_31_12;ausland;263865
23;Valais / Wallis;2016;bestand_31_12;schweiz;260444
23;Valais / Wallis;2016;bestand_31_12;ausland;78732
24;Neuchâtel;2016;bestand_31_12;schweiz;132878
24;Neuchâtel;2016;bestand_31_12;ausland;45689
25;Genève;2016;bestand_31_12;schweiz;292641
25;Genève;2016;bestand_31_12;ausland;196883
26;Jura;2016;bestand_31_12;schweiz;62471
26;Jura;2016;bestand_31_12;ausland;10651
27;Ohne Angabe;2016;bestand_31_12;schweiz;0
27;Ohne Angabe;2016;bestand_31_12;ausland;0
0;Schweiz;2017;bestand_31_12;schweiz;6357738
0;Schweiz;2017;bestand_31_12;ausland;2126392
1;Zürich;2017;bestand_31_12;schweiz;1102014
1;Zürich;2017;bestand_31_12;ausland;402332
2;Bern / Berne;2017;bestand_31_12;schweiz;864300
2;Bern / Berne;2017;bestand_31_12;ausland;166780
3;Luzern;2017;bestand_31_12;schweiz;331512
3;Luzern;2017;bestand_31_12;ausland;74994
4;Uri;2017;bestand_31_12;schweiz;31928
4;Uri;2017;bestand_31_12;ausland;4371
5;Schwyz;2017;bestand_31_12;schweiz;124130
5;Schwyz;2017;bestand_31_12;ausland;33171
6;Obwalden;2017;bestand_31_12;schweiz;32056
6;Obwalden;2017;bestand_31_12;ausland;5519
7;Nidwalden;2017;bestand_31_12;schweiz;36712
7;Nidwalden;2017;bestand_31_12;ausland;6257
8;Glarus;2017;bestand_31_12;schweiz;30636
8;Glarus;2017;bestand_31_12;ausland;9713
9;Zug;2017;bestand_31_12;schweiz;90430
9;Zug;2017;bestand_31_12;ausland;34991
10;Fribourg / Freiburg;2017;bestand_31_12;schweiz;244188
10;Fribourg / Freiburg;2017;bestand_31_12;ausland;70932
11;Solothurn;2017;bestand_31_12;schweiz;210812
11;Solothurn;2017;bestand_31_12;ausland;60620
12;Basel-Stadt;2017;bestand_31_12;schweiz;124147
12;Basel-Stadt;2017;bestand_31_12;ausland;69761
13;Basel-Landschaft;2017;bestand_31_12;schweiz;222343
13;Basel-Landschaft;2017;bestand_31_12;ausland;64680
14;Schaffhausen;2017;bestand_31_12;schweiz;60185
14;Schaffhausen;2017;bestand_31_12;ausland;21166
15;Appenzell Ausserrhoden;2017;bestand_31_12;schweiz;46181
15;Appenzell Ausserrhoden;2017;bestand_31_12;ausland;8997
16;Appenzell Innerrhoden;2017;bestand_31_12;schweiz;14271
16;Appenzell Innerrhoden;2017;bestand_31_12;ausland;1834
17;St. Gallen;2017;bestand_31_12;schweiz;383755
17;St. Gallen;2017;bestand_31_12;ausland;120931
18;Graubünden / Grigioni / Grischun;2017;bestand_31_12;schweiz;160985
18;Graubünden / Grigioni / Grischun;2017;bestand_31_12;ausland;36903
19;Aargau;2017;bestand_31_12;schweiz;503709
19;Aargau;2017;bestand_31_12;ausland;167279
20;Thurgau;2017;bestand_31_12;schweiz;206118
20;Thurgau;2017;bestand_31_12;ausland;67683
21;Ticino;2017;bestand_31_12;schweiz;255122
21;Ticino;2017;bestand_31_12;ausland;98587
22;Vaud;2017;bestand_31_12;schweiz;527117
22;Vaud;2017;bestand_31_12;ausland;266012
23;Valais / Wallis;2017;bestand_31_12;schweiz;263082
23;Valais / Wallis;2017;bestand_31_12;ausland;78381
24;Neuchâtel;2017;bestand_31_12;schweiz;132811
24;Neuchâtel;2017;bestand_31_12;ausland;45153
25;Genève;2017;bestand_31_12;schweiz;296675
25;Genève;2017;bestand_31_12;ausland;198574
26;Jura;2017;bestand_31_12;schweiz;62519
26;Jura;2017;bestand_31_12;ausland;10771
27;Ohne Angabe;2017;bestand_31_12;schweiz;0
27;Ohne Angabe;2017;bestand_31_12;ausland;0
0;Schweiz;2018;bestand_31_12;schweiz;6396252
0;Schweiz;2018;bestand_31_12;ausland;2148275
1;Zürich;2018;bestand_31_12;schweiz;1112574
1;Zürich;2018;bestand_31_12;ausland;408394
2;Bern / Berne;2018;bestand_31_12;schweiz;865861
2;Bern / Berne;2018;bestand_31_12;ausland;169070
3;Luzern;2018;bestand_31_12;schweiz;333672
3;Luzern;2018;bestand_31_12;ausland;75885
4;Uri;2018;bestand_31_12;schweiz;31936
4;Uri;2018;bestand_31_12;ausland;4497
5;Schwyz;2018;bestand_31_12;schweiz;124828
5;Schwyz;2018;bestand_31_12;ausland;34337
6;Obwalden;2018;bestand_31_12;schweiz;32296
6;Obwalden;2018;bestand_31_12;ausland;5545
7;Nidwalden;2018;bestand_31_12;schweiz;36872
7;Nidwalden;2018;bestand_31_12;ausland;6351
8;Glarus;2018;bestand_31_12;schweiz;30671
8;Glarus;2018;bestand_31_12;ausland;9732
9;Zug;2018;bestand_31_12;schweiz;90917
9;Zug;2018;bestand_31_12;ausland;35920
10;Fribourg / Freiburg;2018;bestand_31_12;schweiz;246400
10;Fribourg / Freiburg;2018;bestand_31_12;ausland;72360
11;Solothurn;2018;bestand_31_12;schweiz;211399
11;Solothurn;2018;bestand_31_12;ausland;61795
12;Basel-Stadt;2018;bestand_31_12;schweiz;123867
12;Basel-Stadt;2018;bestand_31_12;ausland;70899
13;Basel-Landschaft;2018;bestand_31_12;schweiz;222396
13;Basel-Landschaft;2018;bestand_31_12;ausland;65736
14;Schaffhausen;2018;bestand_31_12;schweiz;60626
14;Schaffhausen;2018;bestand_31_12;ausland;21365
15;Appenzell Ausserrhoden;2018;bestand_31_12;schweiz;46220
15;Appenzell Ausserrhoden;2018;bestand_31_12;ausland;9014
16;Appenzell Innerrhoden;2018;bestand_31_12;schweiz;14321
16;Appenzell Innerrhoden;2018;bestand_31_12;ausland;1824
17;St. Gallen;2018;bestand_31_12;schweiz;385295
17;St. Gallen;2018;bestand_31_12;ausland;122402
18;Graubünden / Grigioni / Grischun;2018;bestand_31_12;schweiz;161397
18;Graubünden / Grigioni / Grischun;2018;bestand_31_12;ausland;36982
